Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
235,Edison International,"$11,869",3%,"$1,311",28.5%,"$51,319","$25,938",11,"12,390",11,2017,0,0
236,Sherwin-Williams,"$11,856",4.6%,"$1,132.7",7.5%,"$6,753","$28,891",17,"42,550",17,2017,0,0
237,NGL Energy Partners,"$11,742",-30.1%,$-198.9,-633.2%,"$5,560","$2,686",-70,"3,200",-70,2017,0,0
238,Dominion Energy,"$11,737",0.5%,"$2,123",11.8%,"$71,610","$48,732",5,"16,200",5,2017,0,0
239,Ameriprise Financial,"$11,735",-3.8%,"$1,314",-15.9%,"$139,821","$19,953",-7,"13,195",-7,2017,0,0
240,ADP,"$11,668",1.7%,"$1,492.5",2.8%,"$43,670","$45,963",8,"57,000",8,2017,0,0
241,Hilton Worldwide Holdings,"$11,663",3.5%,$348,-75.2%,"$26,211","$19,276",13,"169,000",13,2017,0,0
242,First Data,"$11,584",1.2%,$420,-,"$40,292","$14,224",7,"24,000",7,2017,0,0
243,Henry Schein,"$11,572",8.9%,$506.8,5.8%,"$6,730","$13,461",25,"21,000",25,2017,0,0
244,"Toys ""R"" Us","$11,540",-2.2%,$-36,-,"$6,908",-,-4,"64,000",-4,2017,0,0
245,BB&T Corp.,"$11,538",11.5%,"$2,426",16.4%,"$219,276","$36,141",28,"37,500",28,2017,0,0
246,Reinsurance Group of America,"$11,522",10.6%,$701.4,39.7%,"$53,098","$8,169",25,"2,371",25,2017,0,0
247,Core-Mark Holding,"$11,507",29.9%,$54.2,5.2%,"$1,497","$1,445",70,"7,688",70,2017,0,0
248,Biogen,"$11,449",6.4%,"$3,702.8",4.4%,"$22,877","$59,046",15,"7,400",15,2017,0,0
249,Las Vegas Sands,"$11,410",-2.4%,"$1,670",-15.1%,"$20,469","$45,313",-8,"49,000",-8,2017,0,0
250,Stanley Black & Decker,"$11,407",1.7%,$965.3,9.2%,"$15,635","$20,280",6,"54,023",6,2017,0,0
251,Parker-Hannifin,"$11,361",-10.6%,$806.8,-20.3%,"$12,057","$21,370",-27,"48,950",-27,2017,0,0
252,Stryker,"$11,325",13.9%,"$1,647",14.5%,"$20,435","$49,115",35,"33,000",35,2017,0,0
253,Estee Lauder,"$11,262",4.5%,"$1,114.6",2.4%,"$9,223","$31,068",8,"46,000",8,2017,0,0
254,Celgene,"$11,229",21.3%,"$1,999.2",24.8%,"$28,086","$96,802",51,"7,132",51,2017,0,0
255,BlackRock,"$11,155",-2.2%,"$3,172",-5.2%,"$220,177","$62,225",-5,"13,000",-5,2017,0,0
256,Xcel Energy,"$11,107",0.7%,"$1,123.4",14.1%,"$41,155","$22,546",1,"11,476",1,2017,0,0
257,CSX,"$11,069",-6.3%,"$1,714",-12.9%,"$35,414","$43,126",-18,"26,628",-18,2017,0,0
258,Unum Group,"$11,047",2.9%,$931.4,7.4%,"$61,942","$10,749",7,"9,400",7,2017,0,0
259,Jacobs Engineering Group,"$10,964",-9.5%,$210.5,-30.5%,"$7,360","$6,693",-24,"49,350",-24,2017,0,0
260,Lennar,"$10,950",15.6%,$911.8,13.6%,"$15,362","$12,002",41,"8,335",41,2017,0,0
261,Group 1 Automotive,"$10,888",2.4%,$147.1,56.5%,"$4,462","$1,584",6,"13,500",6,2017,0,0
262,Leucadia National,"$10,875",-6.9%,$130,-54.2%,"$45,071","$9,355",-20,"13,000",-20,2017,0,0
263,Entergy,"$10,846",-5.8%,$-583.6,-,"$45,904","$13,685",-16,"13,513",-16,2017,0,0
264,PayPal Holdings,"$10,842",17.2%,"$1,401",14.1%,"$33,103","$51,650",43,"18,100",43,2017,0,0
265,Applied Materials,"$10,825",12.1%,"$1,721",25%,"$14,588","$42,005",30,"16,150",30,2017,0,0
266,Voya Financial,"$10,782",-4.9%,$-428,-204.8%,"$214,235","$7,191",-14,"6,700",-14,2017,0,0
267,Mastercard,"$10,776",11.5%,"$4,059",6.6%,"$18,675","$121,234",27,"11,900",27,2017,0,0
268,Priceline Group,"$10,743",16.5%,"$2,135",-16.3%,"$19,839","$87,522",40,"18,500",40,2017,0,0
269,Liberty Interactive,"$10,647",6.6%,"$1,235",42.1%,"$20,355","$9,101",15,"21,080",15,2017,0,0
270,AutoZone,"$10,636",4.4%,"$1,241",7%,"$8,600","$20,540",10,"66,780",10,2017,0,0
271,State Street Corp.,"$10,635",-1.2%,"$2,143",8.2%,"$242,698","$30,406",-7,"33,783",-7,2017,0,0
272,DTE Energy,"$10,630",2.8%,$868,19.4%,"$32,041","$18,317",2,"10,000",2,2017,0,0
273,L3 Technologies,"$10,597",-8.3%,$710,-,"$11,865","$12,859",-28,"38,000",-28,2017,0,0
274,HollyFrontier,"$10,536",-20.4%,$-260.5,-135.2%,"$9,436","$5,048",-60,"2,676",-60,2017,0,0
275,Praxair,"$10,534",-2.2%,"$1,500",-3%,"$19,332","$33,834",-13,"26,498",-13,2017,0,0
276,Universal Health Services,"$10,508",7.4%,$702.4,3.2%,"$10,318","$12,022",14,"70,863",14,2017,0,0
277,Discover Financial Services,"$10,497",4.9%,"$2,393",4.2%,"$92,308","$26,255",6,"15,549",6,2017,0,0
278,Occidental Petroleum,"$10,398",-18.1%,$-574,-,"$43,109","$48,444",-53,"11,000",-53,2017,0,0
279,United States Steel,"$10,261",-11.3%,$-440,-,"$9,160","$5,893",-35,"29,800",-35,2017,0,0
280,Sempra Energy,"$10,183",-0.5%,"$1,370",1.6%,"$47,786","$27,692",-1,"16,575",-1,2017,0,0
281,Baxter International,"$10,163",2%,"$4,965",412.9%,"$15,546","$28,106",5,"48,000",5,2017,0,0
282,W.W. Grainger,"$10,137",1.6%,$605.9,-21.2%,"$5,694","$13,668",3,"25,000",3,2017,0,0
283,Autoliv,"$10,074",9.9%,$567.1,24.1%,"$8,234","$9,032",27,"65,900",27,2017,0,0
284,Norfolk Southern,"$9,888",-5.9%,"$1,668",7.2%,"$34,892","$32,515",-14,"27,856",-14,2017,0,0
285,Baker Hughes,"$9,841",-37.5%,"$-2,738",-,"$19,034","$25,444",-107,"33,000",-107,2017,0,0
286,Ally Financial,"$9,835",3.1%,"$1,067",-17.2%,"$163,728","$9,437",12,"7,600",12,2017,0,0
287,Sonic Automotive,"$9,732",1.1%,$93.2,8%,"$3,639",$900,10,"9,800",10,2017,0,0
288,Owens & Minor,"$9,723",-0.5%,$108.8,5.2%,"$2,718","$2,114",3,"7,900",3,2017,0,0
289,Huntsman,"$9,657",-6.2%,$326,250.5%,"$9,189","$5,880",-12,"15,000",-12,2017,0,0
290,Laboratory Corp. of America,"$9,642",11.1%,$732.1,67.6%,"$14,247","$14,696",35,"52,000",35,2017,0,0
291,Murphy USA,"$9,633",-11.5%,$221.5,25.6%,"$2,089","$2,706",-33,"6,600",-33,2017,0,0
292,Advance Auto Parts,"$9,568",-1.7%,$459.6,-2.9%,"$8,315","$10,944",1,"57,500",1,2017,0,0
293,Fidelity National Financial,"$9,554",4.6%,$650,23.3%,"$14,463","$10,600",18,"55,219",18,2017,0,0
294,Air Products & Chemicals,"$9,524",-3.7%,$631.1,-50.6%,"$18,055","$29,438",-6,"18,450",-6,2017,0,0
295,Hormel Foods,"$9,523",2.8%,$890.1,29.7%,"$6,370","$18,316",9,"21,100",9,2017,0,0
296,Hertz Global Holdings,"$9,480",-10%,$-491,-279.9%,"$19,155","$1,456",-27,"36,000",-27,2017,0,0
297,MGM Resorts International,"$9,455",2.9%,"$1,101.4",-,"$28,173","$15,733",12,"66,500",12,2017,0,0
298,Corning,"$9,390",3.1%,"$3,695",176%,"$27,899","$25,030",15,"40,700",15,2017,0,0
299,Republic Services,"$9,388",3%,$612.6,-18.3%,"$20,630","$21,312",13,"33,000",13,2017,0,0
300,Alcoa,"$9,318",-,$-400,-,"$16,741","$6,337",-,"14,000",-,2017,0,0
301,Fidelity National Information Services,"$9,241",40.1%,$568,-10.1%,"$26,031","$26,178",91,"55,000",91,2017,0,0
302,Pacific Life,"$9,169",6.1%,$824,24.7%,"$143,298",-,24,"3,628",24,2017,0,0
303,SunTrust Banks,"$9,161",7.4%,"$1,878",-2.8%,"$204,875","$27,175",26,"24,375",26,2017,0,0
304,LKQ,"$9,082",26.3%,$464,9.6%,"$8,303","$9,021",65,"42,500",65,2017,0,0
305,BorgWarner,"$9,071",13.1%,$118.5,-80.6%,"$8,835","$8,895",34,"27,000",34,2017,0,0
306,Ball,"$9,061",13.3%,$263,-6.4%,"$16,173","$13,000",35,"18,450",35,2017,0,0
306,CST Brands,"$9,061",-4.6%,$324,117.4%,"$4,360","$3,645",-7,"12,380",-7,2017,0,0
306,Public Service Enterprise Group,"$9,061",-13%,$887,-47.2%,"$40,070","$22,451",-34,"13,065",-34,2017,0,0
309,Eastman Chemical,"$9,008",-6.6%,$854,0.7%,"$15,457","$11,783",-13,"14,000",-13,2017,0,0
310,eBay,"$8,979",-5.4%,"$7,266",321.2%,"$23,847","$36,232",-10,"12,600",-10,2017,0,0
311,Mohawk Industries,"$8,959",11%,$930.4,51.2%,"$10,231","$17,025",27,"37,800",27,2017,0,0
312,Oneok,"$8,921",14.9%,$352,43.7%,"$16,139","$11,684",36,"2,384",36,2017,0,0
313,Frontier Communications,"$8,896",59.5%,$-373,-,"$29,013","$2,521",148,"28,332",148,2017,0,0
314,Netflix,"$8,831",30.3%,$186.7,52.2%,"$13,587","$63,619",65,"3,850",65,2017,0,0
315,American Family Insurance Group,"$8,829",6.6%,$325.6,-53.1%,"$22,662",-,17,"10,471",17,2017,0,0
316,Thrivent Financial for Lutherans,"$8,777",-0.1%,$587.8,-23.6%,"$88,561",-,2,"3,282",2,2017,0,0
317,Expedia,"$8,774",31.5%,$281.8,-63.1%,"$15,778","$18,901",68,"20,075",68,2017,0,0
318,Lithia Motors,"$8,678",10.3%,$197.1,7.7%,"$3,844","$2,156",28,"11,170",28,2017,0,0
319,Avis Budget Group,"$8,659",1.8%,$163,-47.9%,"$17,643","$2,528",11,"25,600",11,2017,0,0
320,Reliance Steel & Aluminum,"$8,613",-7.9%,$304.3,-2.3%,"$7,411","$5,830",-17,"14,500",-17,2017,0,0
321,GameStop,"$8,608",-8.1%,$353.2,-12.3%,"$4,976","$2,282",-19,"41,750",-19,2017,0,0
322,Tenneco,"$8,599",4.8%,$363,47%,"$4,342","$3,390",12,"31,000",12,2017,0,0
323,O'Reilly Automotive,"$8,593",7.9%,"$1,037.7",11.4%,"$7,204","$24,730",19,"58,397",19,2017,0,0
324,Peter Kiewit Sons',"$8,573",-4.7%,$396,57.8%,"$6,179",-,-10,"20,000",-10,2017,0,0
325,United Natural Foods,"$8,470",3.5%,$125.8,-9.3%,"$2,852","$2,187",10,"9,554",10,2017,0,0
326,salesforce.com,"$8,392",25.9%,$179.6,-,"$17,585","$58,362",60,"25,000",60,2017,0,0
327,Boston Scientific,"$8,386",12.2%,$347,-,"$18,096","$34,046",32,"27,000",32,2017,0,0
328,Newmont Mining,"$8,379",8.4%,$-627,-385%,"$21,031","$17,518",21,"12,438",21,2017,0,0
329,Genworth Financial,"$8,369",-9.5%,$-277,-,"$104,658","$2,056",-23,"3,400",-23,2017,0,0
330,Live Nation Entertainment,"$8,355",15.3%,$2.9,-,"$6,764","$6,219",36,"11,500",36,2017,0,0
331,Veritiv,"$8,327",-4.5%,$21,-21.3%,"$2,484",$813,-8,"8,700",-8,2017,0,0
332,News Corp.,"$8,319",-3.6%,$179,-,"$15,483","$7,559",-5,"24,000",-5,2017,0,0
333,Crown Holdings,"$8,284",-5.5%,$496,26.2%,"$9,599","$7,367",-12,"23,992",-12,2017,0,0
334,Global Partners,"$8,240",-20.1%,$-199.4,-557.8%,"$2,564",$663,-58,"1,770",-58,2017,0,0
335,PVH,"$8,203",2.3%,$549,-4.1%,"$11,068","$8,092",5,"26,650",5,2017,0,0
336,Level 3 Communications,"$8,172",-0.7%,$677,-80.3%,"$24,888","$20,638",-3,"12,600",-3,2017,0,0
337,Navistar International,"$8,111",-20%,$-97,-,"$5,653","$2,416",-56,"11,300",-56,2017,0,0
338,Univar,"$8,074",-10.1%,$-68.4,-514.5%,"$5,390","$4,293",-23,"8,700",-23,2017,0,0
339,Campbell Soup,"$7,961",-1.5%,$563,-18.5%,"$7,837","$17,423",-2,"16,500",-2,2017,0,0
340,Dick's Sporting Goods,"$7,922",9%,$287.4,-13%,"$4,058","$5,489",25,"27,550",25,2017,0,0
341,Weyerhaeuser,"$7,902",11.6%,"$1,027",103%,"$19,243","$25,451",32,"10,400",32,2017,0,0
342,Mutual of Omaha Insurance,"$7,899",9.2%,$356.6,7.1%,"$38,465",-,25,"5,732",25,2017,0,0
343,Chesapeake Energy,"$7,872",-38.3%,"$-4,401",-,"$13,028","$5,394",-120,"3,300",-120,2017,0,0
344,Anadarko Petroleum,"$7,869",-9.5%,"$-3,071",-,"$45,564","$34,640",-20,"4,500",-20,2017,0,0
345,Interpublic Group,"$7,847",3.1%,$608.5,33.9%,"$12,485","$9,648",10,"49,800",10,2017,0,0
346,J.M. Smucker,"$7,811",37.2%,$688.7,99.7%,"$15,984","$15,263",106,"6,910",106,2017,0,0
347,Steel Dynamics,"$7,777",2.4%,$382.1,-,"$6,424","$8,425",9,"7,695",9,2017,0,0
348,Foot Locker,"$7,766",4.8%,$664,22.7%,"$3,840","$9,818",13,"32,965",13,2017,0,0
349,Western Refining,"$7,743",-20.9%,$124.9,-69.3%,"$5,560","$3,812",-60,"7,134",-60,2017,0,0
350,SpartanNash,"$7,735",1.1%,$56.8,-9.4%,"$1,930","$1,313",1,"11,500",1,2017,0,0
351,Dean Foods,"$7,710",-5.1%,$119.9,-,"$2,606","$1,786",-15,"17,000",-15,2017,0,0
352,Zimmer Biomet Holdings,"$7,684",28.1%,$305.9,108.1%,"$26,684","$24,571",79,"18,500",79,2017,0,0
353,PulteGroup,"$7,669",28.2%,$602.7,22%,"$10,178","$7,466",80,"4,623",80,2017,0,0
354,W.R. Berkley,"$7,654",6.2%,$601.9,19.5%,"$23,365","$8,561",14,"7,608",14,2017,0,0
355,Quanta Services,"$7,651",0.2%,$198.4,-36.2%,"$5,354","$5,386",-3,"28,100",-3,2017,0,0
356,EOG Resources,"$7,651",-12.6%,"$-1,096.7",-,"$29,459","$56,302",-34,"2,650",-34,2017,0,0
357,Charles Schwab,"$7,644",17.6%,"$1,889",30.5%,"$223,383","$54,555",44,"16,200",44,2017,0,0
358,Eversource Energy,"$7,639",-4%,$942.3,7.3%,"$32,053","$18,627",-15,"7,762",-15,2017,0,0
359,Anixter International,"$7,625",15.6%,$120.5,-5.6%,"$4,094","$2,626",32,"8,900",32,2017,0,0
360,EMCOR Group,"$7,552",12.3%,$181.9,5.6%,"$3,894","$3,756",21,"31,000",21,2017,0,0
361,Assurant,"$7,532",-27.1%,$565.4,299.4%,"$29,709","$5,298",-86,"14,700",-86,2017,0,0
362,CenterPoint Energy,"$7,528",1.9%,$432,-,"$21,829","$11,882",1,"7,727",1,2017,0,0
363,Harris,"$7,527",48.1%,$324,-3%,"$11,996","$13,849",142,"21,000",-,2017,0,0
364,HD Supply Holdings,"$7,524",-14.3%,$196,-86.7%,"$5,707","$8,296",-44,"14,000",-44,2017,0,0
365,PPL,"$7,517",-2%,"$1,902",178.9%,"$38,315","$25,448",-15,"12,689",-15,2017,0,0
366,Quest Diagnostics,"$7,515",0.3%,$645,-9%,"$10,100","$13,501",-8,"43,000",-8,2017,0,0
367,Williams,"$7,499",1.9%,$-424,-,"$46,835","$24,436",-3,"5,604",-3,2017,0,0
368,WEC Energy Group,"$7,472",26.1%,$939,47.1%,"$30,123","$19,134",69,"8,074",69,2017,0,0
369,Hershey,"$7,440",0.7%,$720,40.4%,"$5,524","$23,236",-7,"17,140",-7,2017,0,0
370,AGCO,"$7,411",-0.8%,$160.1,-39.9%,"$7,168","$4,783",-10,"19,795",-10,2017,0,0
371,Ralph Lauren,"$7,405",-2.8%,$396,-43.6%,"$6,213","$6,710",-17,"20,500",-17,2017,0,0
372,Masco,"$7,357",-6.9%,$491,38.3%,"$5,137","$10,888",-27,"26,000",-27,2017,0,0
373,WESCO International,"$7,336",-2.4%,$101.6,-51.8%,"$4,491","$3,389",-16,"9,000",-16,2017,0,0
374,LifePoint Health,"$7,274",20.9%,$121.9,-33%,"$6,319","$2,616",56,"47,000",56,2017,0,0
375,National Oilwell Varco,"$7,251",-50.9%,"$-2,412",-,"$21,140","$15,183",-183,"36,384",-183,2017,0,0
376,Kindred Healthcare,"$7,227",1.8%,$-664.2,-,"$6,113",$711,-4,"76,650",-4,2017,0,0
377,Mosaic,"$7,163",-19.5%,$297.8,-70.2%,"$16,841","$10,242",-61,"8,700",-61,2017,0,0
378,Alliance Data Systems,"$7,138",10.8%,$515.8,-13.5%,"$25,514","$13,925",26,"17,000",26,2017,0,0
379,Computer Sciences,"$7,106",-41.7%,$251,-,"$7,736","$9,746",-146,"59,000",-146,2017,0,0
380,Huntington Ingalls Industries,"$7,068",0.7%,$573,41.8%,"$6,352","$9,265",-2,"37,000",-2,2017,0,0
381,Leidos Holdings,"$7,043",38.5%,$244,-3.9%,"$9,132","$7,696",123,"32,000",-,2017,0,0
382,Erie Insurance Group,"$7,016",5.7%,$741.9,10.7%,"$18,417",-,29,"4,988",29,2017,0,0
383,Tesla,"$7,000",73%,$-674.9,-,"$22,664","$45,390",205,"30,025",-,2017,0,0
384,Ascena Retail Group,"$6,995",45.6%,$-11.9,-,"$5,506",$830,139,"41,000",-,2017,0,0
385,Darden Restaurants,"$6,934",-3.2%,$375,-47.1%,"$4,583","$10,389",-14,"150,942",-14,2017,0,0
386,Harman International Industries,"$6,912",12.3%,$361.7,5.6%,"$6,054",-,33,"26,000",33,2017,0,0
387,Nvidia,"$6,910",37.9%,"$1,666",171.3%,"$9,841","$64,160",121,"10,299",-,2017,0,0
388,R.R. Donnelley & Sons,"$6,896",-38.7%,$-495.9,-428.2%,"$4,285",$846,-133,"44,360",-133,2017,0,0
389,Fifth Third Bancorp,"$6,889",-2%,"$1,564",-8.6%,"$142,177","$19,066",-13,"17,844",-13,2017,0,0
390,Quintiles IMS Holdings,"$6,878",19.9%,$115,-70.3%,"$21,208","$18,999",57,"50,000",57,2017,0,0
391,Jones Lang LaSalle,"$6,804",14%,$318.2,-27.5%,"$7,629","$5,043",45,"77,300",45,2017,0,0
392,Dover,"$6,794",-3.3%,$508.9,-41.5%,"$10,116","$12,502",-15,"29,000",-15,2017,0,0
393,Spirit AeroSystems Holdings,"$6,793",2.2%,$469.7,-40.4%,"$5,405","$6,900",-4,"14,400",-4,2017,0,0
394,Ryder System,"$6,787",3.3%,$262.5,-13.9%,"$10,903","$3,992",1,"34,500",1,2017,0,0
395,A-Mark Precious Metals,"$6,784",11.8%,$9.3,31.5%,$437,$120,31,83,31,2017,0,0
396,Tractor Supply,"$6,780",8.9%,$437.1,6.5%,"$2,675","$8,960",19,"19,500",19,2017,0,0
397,Sealed Air,"$6,778",-3.6%,$486.4,45%,"$7,389","$8,432",-22,"23,000",-22,2017,0,0
398,Auto-Owners Insurance,"$6,775",4%,$706.3,-13.4%,"$21,571",-,-,"4,737",-,2017,0,0
399,Yum China Holdings,"$6,752",-,$502,-,"$3,727","$10,453",-,"420,000",-,2017,0,0
400,Calpine,"$6,716",3.8%,$92,-60.9%,"$19,317","$3,989",2,"2,372",2,2017,0,0
401,Owens-Illinois,"$6,702",8.9%,$209,54.8%,"$9,135","$3,316",17,"27,000",17,2017,0,0
402,Targa Resources,"$6,691",0.5%,$-187.3,-421.3%,"$12,871","$11,743",-15,"1,970",-15,2017,0,0
403,JetBlue Airways,"$6,632",3.4%,$759,12.1%,"$9,487","$6,875",2,"15,986",2,2017,0,0
403,Jones Financial (Edward Jones),"$6,632",-0.9%,$746,-11%,"$19,424",-,-21,"43,000",-21,2017,0,0
405,Franklin Resources,"$6,618",-16.7%,"$1,726.7",-15.2%,"$16,099","$23,823",-61,"9,059",-61,2017,0,0
406,Activision Blizzard,"$6,608",41.7%,$966,8.3%,"$17,452","$37,487",126,"9,500",-,2017,0,0
407,J.B. Hunt Transport Services,"$6,556",5.9%,$432.1,1.1%,"$3,829","$10,212",9,"22,190",9,2017,0,0
408,Constellation Brands,"$6,548",8.6%,"$1,054.9",25.7%,"$16,965","$31,775",21,"9,000",21,2017,0,0
409,NCR,"$6,543",2.7%,$270,-,"$7,673","$5,620",-,"33,500",-,2017,0,0
410,Asbury Automotive Group,"$6,528",-0.9%,$167.2,-1.2%,"$2,336","$1,271",-17,"7,900",-17,2017,0,0
411,American Financial Group,"$6,498",5.7%,$649,84.4%,"$55,072","$8,303",10,"7,600",10,2017,0,0
412,Discovery Communications,"$6,497",1.6%,"$1,194",15.5%,"$15,758","$11,306",-6,"7,000",-6,2017,0,0
413,Berry Global Group,"$6,489",32.9%,$236,174.4%,"$7,653","$6,256",105,"21,000",-,2017,0,0
414,Sanmina,"$6,481",1.7%,$187.8,-50.2%,"$3,625","$3,016",-6,"40,178",-6,2017,0,0
415,CalAtlantic Group,"$6,477",83%,$484.7,127%,"$8,709","$4,291",225,"3,055",-,2017,0,0
416,Dr Pepper Snapple Group,"$6,440",2.5%,$847,10.9%,"$9,791","$17,997",-3,"20,000",-3,2017,0,0
417,Dillard's,"$6,418",-5%,$169.2,-37.2%,"$3,888","$1,645",-37,"30,800",-37,2017,0,0
418,HRG Group,"$6,403",10.1%,$-198.8,-,"$35,793","$3,869",23,"16,021",23,2017,0,0
419,CMS Energy,"$6,399",-0.9%,$551,5.4%,"$21,622","$12,528",-16,"7,750",-16,2017,0,0
420,Graybar Electric,"$6,385",4.5%,$93.1,2.2%,"$2,099",-,3,"8,500",3,2017,0,0
421,Builders FirstSource,"$6,367",78.6%,$144.3,-,"$2,910","$1,669",216,"14,000",-,2017,0,0
422,Yum Brands,"$6,366",-51.4%,"$1,619",25.2%,"$5,478","$22,611",-204,"90,000",-204,2017,0,0
423,Casey's General Stores,"$6,304",-10.6%,$226,25.1%,"$2,726","$4,400",-49,"24,724",-49,2017,0,0
424,Amphenol,"$6,286",12.9%,$822.9,7.8%,"$8,499","$21,897",38,"62,000",38,2017,0,0
425,Oshkosh,"$6,279",3%,$216.4,-5.7%,"$4,514","$5,118",-1,"13,800",-1,2017,0,0
426,iHeartMedia,"$6,274",0.5%,$-296.3,-,"$12,862",$330,-12,"18,700",-12,2017,0,0
427,TreeHouse Foods,"$6,175",92.6%,$-228.6,-298.9%,"$6,546","$4,813",259,"16,027",-,2017,0,0
428,Alleghany,"$6,131",22.6%,$456.9,-18.5%,"$23,757","$9,476",81,"3,420",-,2017,0,0
429,Expeditors International of Washington,"$6,098",-7.8%,$430.8,-5.8%,"$2,791","$10,208",-39,"16,000",-39,2017,0,0
430,Avery Dennison,"$6,087",2%,$320.7,16.9%,"$4,396","$7,157",5,"25,000",5,2017,0,0
431,Ameren,"$6,076",-0.4%,$653,3.7%,"$24,699","$13,245",-6,"8,629",-6,2017,0,0
432,Hanesbrands,"$6,063",5.8%,$539.4,25.8%,"$6,908","$7,733",16,"67,800",16,2017,0,0
433,Motorola Solutions,"$6,038",6%,$560,-8.2%,"$8,463","$14,131",18,"14,000",18,2017,0,0
434,St. Jude Medical,"$6,004",8.4%,$734,-16.6%,"$12,578",-,31,"18,000",31,2017,0,0
435,Harley-Davidson,"$5,997",-,$692.2,-8%,"$9,890","$10,626",-3,"6,000",-3,2017,0,0
436,Regions Financial,"$5,967",5.2%,"$1,163",9.5%,"$125,968","$17,512",17,"22,166",17,2017,0,0
437,Intercontinental Exchange,"$5,958",27.3%,"$1,422",11.6%,"$82,003","$35,530",92,"5,631",-,2017,0,0
438,Alaska Air Group,"$5,931",5.9%,$814,-4%,"$9,962","$11,407",21,"19,112",21,2017,0,0
439,Old Republic International,"$5,901",2.3%,$466.9,10.6%,"$18,592","$5,382",3,"8,500",3,2017,0,0
440,Lam Research,"$5,886",11.9%,$914,39.4%,"$12,272","$20,903",51,"7,500",51,2017,0,0
441,AK Steel Holding,"$5,883",-12.1%,$-7.8,-,"$4,036","$2,263",-58,"8,500",-58,2017,0,0
442,Rockwell Automation,"$5,880",-6.8%,$729.7,-11.8%,"$7,101","$20,024",-30,"22,000",-30,2017,0,0
443,Adobe Systems,"$5,854",22.1%,"$1,168.8",85.7%,"$12,707","$64,375",81,"15,706",-,2017,0,0
444,Avon Products,"$5,853",-18.4%,$-107.6,-,"$3,419","$1,933",-74,"26,400",-74,2017,0,0
445,Terex,"$5,841",-10.7%,$-176.1,-220.7%,"$5,007","$3,250",-49,"18,100",-49,2017,0,0
446,NVR,"$5,835",12.9%,$425.3,11.1%,"$2,644","$7,851",52,"4,900",52,2017,0,0
447,Dana,"$5,826",-3.9%,$640,302.5%,"$4,860","$2,783",-19,"24,900",-19,2017,0,0
448,Realogy Holdings,"$5,810",1.8%,$213,15.8%,"$7,421","$4,173",1,"11,800",1,2017,0,0
449,American Tower,"$5,786",21.3%,$956.4,39.6%,"$30,879","$51,921",77,"4,507",-,2017,0,0
450,Packaging Corp. of America,"$5,779",0.6%,$449.6,2.9%,"$5,777","$8,631",-4,"14,000",-4,2017,0,0
451,Citizens Financial Group,"$5,763",9.2%,"$1,045",24.4%,"$149,520","$17,597",35,"17,600",35,2017,0,0
452,United Rentals,"$5,762",-0.9%,$566,-3.2%,"$11,988","$10,561",-12,"12,500",-12,2017,0,0
453,Clorox,"$5,761",1.7%,$648,11.7%,"$4,518","$17,294",2,"8,000",2,2017,0,0
454,Genesis Healthcare,"$5,733",2%,$-64,-,"$5,779",$408,3,"82,000",3,2017,0,0
455,M&T Bank Corp.,"$5,722",14.5%,"$1,315.1",21.8%,"$123,449","$23,792",55,"16,487",-,2017,0,0
456,Ingredion,"$5,704",1.5%,$484.9,20.6%,"$5,782","$8,646",-,"11,000",-,2017,0,0
457,UGI,"$5,686",-15%,$364.7,29.8%,"$10,847","$8,543",-73,"13,105",-73,2017,0,0
458,Owens Corning,"$5,677",6.1%,$393,19.1%,"$7,741","$6,910",22,"16,000",22,2017,0,0
459,S&P Global,"$5,661",6.6%,"$2,106",82.2%,"$8,669","$33,805",22,"20,000",22,2017,0,0
460,Markel,"$5,612",4.5%,$455.7,-21.8%,"$25,875","$13,623",16,"10,900",16,2017,0,0
461,Wyndham Worldwide,"$5,599",1.1%,$611,-0.2%,"$9,819","$8,829",5,"37,800",5,2017,0,0
462,Arthur J. Gallagher,"$5,595",3.8%,$414.4,16.1%,"$11,490","$10,148",9,"24,790",9,2017,0,0
463,Burlington Stores,"$5,591",9%,$215.9,43.5%,"$2,575","$6,836",37,"40,000",37,2017,0,0
464,First American Financial,"$5,576",7.7%,$343,19.1%,"$8,832","$4,332",33,"19,531",33,2017,0,0
465,Symantec,"$5,568",-14.4%,"$2,488",183.4%,"$11,767","$18,986",-65,"11,000",-65,2017,0,0
466,Patterson,"$5,555",27%,$187.2,-16.2%,"$3,521","$4,393",93,"7,000",-,2017,0,0
467,Olin,"$5,551",94.5%,$-3.9,-,"$8,763","$5,444",294,"6,400",-,2017,0,0
468,NetApp,"$5,546",-9.4%,$229,-59.1%,"$10,037","$11,339",-46,"12,030",-46,2017,0,0
469,Raymond James Financial,"$5,520",4%,$529.4,5.4%,"$31,594","$10,958",13,"11,900",13,2017,0,0
470,TravelCenters of America,"$5,511",-5.8%,$-2,-107.3%,"$1,660",$241,-31,"20,259",-31,2017,0,0
471,Fiserv,"$5,505",4.8%,$930,30.6%,"$9,743","$24,741",21,"23,000",21,2017,0,0
472,Host Hotels & Resorts,"$5,488",1.9%,$762,36.6%,"$11,408","$13,794",-,220,-,2017,0,0
473,Insight Enterprises,"$5,486",2.1%,$84.7,11.7%,"$2,219","$1,458",1,"5,930",1,2017,0,0
